Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,TimeStamp
1.2548685,0.92313796,0.36747292,1.8145766,0.8382119,0.4506274,0.28076473,1.5288289,0.7289801,0.4640565,0.40101478,1.5948561,0.68806446,0.6069001,0.90426916,1.5534039,0.49165007,0.45480162,0.76900166,1.1267302,1089.9268,830.0366,891.685,1031.0989,1087.5092,0.31378173828125,0.4739990234375,0.89886474609375,69.18289184570312,32.04559326171875,244.820556640625,1.0,2.0,1.0,1.0,2.0,90.42,0.0,2023-10-31 20:36:42.504
1.2548685,1.2783589,0.36747292,1.8145766,0.8382119,0.6238823,0.28076473,1.5288289,0.7289801,0.45966458,0.40101478,1.5948561,0.68806446,0.21608613,0.90426916,1.5534039,0.49165007,0.17479719,0.76900166,1.1267302,711.5751,840.9158,859.0476,509.30402,728.0952,0.00262451171875,0.02239990234375,0.97998046875,0.082244873046875,15.95550537109375,4.732818603515625,1.0,2.0,1.0,1.0,2.0,90.42,0.0,2023-10-31 20:36:43.519
1.2548685,1.0149951,0.7937031,1.8145766,0.8382119,0.41957685,0.028503757,1.5288289,0.7289801,0.2556133,0.044821903,1.5948561,0.68806446,0.024330104,0.24901763,1.5534039,0.49165007,0.38747635,0.5741549,1.1267302,1022.6374,856.63007,847.3626,955.7509,1250.2931,0.2117919921875,0.123779296875,1.021728515625,1.0467529296875,5.8917236328125,2.52716064453125,1.0,2.0,1.0,1.0,4.0,90.42,0.0,2023-10-31 20:36:44.527
1.2548685,0.4960762,0.7056942,1.8145766,0.8382119,0.2401347,0.15889257,1.5288289,0.7289801,0.037201643,0.17985874,1.5948561,0.68806446,0.19006585,0.20419565,1.5534039,0.49165007,0.387965,0.39722148,1.1267302,933.9927,870.7326,829.2308,902.1612,1498.0952,0.19598388671875,0.001708984375,0.95294189453125,0.456085205078125,9.1217041015625,14.587249755859377,1.0,2.0,1.0,1.0,4.0,90.42,0.0,2023-10-31 20:36:45.535
1.2548685,0.24666634,0.5048375,1.8145766,0.8382119,0.011075001,0.23244911,1.5288289,0.7289801,0.13525778,0.06572766,1.5948561,0.68806446,0.09910162,0.16011432,1.5534039,0.49165007,0.25804138,0.21815982,1.1267302,823.9927,826.8132,836.8865,788.93774,869.12085,0.27069091796875,0.07025146484375,0.96209716796875,3.170166015625,2.743988037109375,3.641204833984375,1.0,2.0,1.0,1.0,2.0,90.42,0.0,2023-10-31 20:36:46.543
0.8520445,0.18130632,0.21944915,1.8145766,0.98281455,0.4214797,0.25103727,1.5288289,1.1964949,0.10713906,0.17137274,1.5948561,0.37454227,0.03400901,0.16974406,1.5534039,0.03549777,0.048476122,0.06869884,1.1267302,853.4066,850.58606,848.5714,813.5165,815.12823,0.2803955078125,0.08404541015625,0.95904541015625,1.114044189453125,1.622467041015625,5.226287841796875,1.0,1.0,1.0,1.0,1.0,90.42,0.0,2023-10-31 20:36:47.550
0.98734343,0.33083165,0.22959815,1.3104837,0.8840263,0.13411531,0.42663434,1.0977167,1.2286538,0.07351723,0.12340921,1.498021,0.5328778,0.097305104,0.034885813,1.3608547,0.18330804,0.04702332,0.046758927,0.8288001,822.7839,848.5714,848.97437,770.80585,754.68866,0.28277587890625,0.07403564453125,0.961669921875,0.695343017578125,3.043060302734375,3.887939453125,1.0,1.0,1.0,1.0,1.0,90.41,0.0,2023-10-31 20:36:48.560
0.74100405,0.42000845,0.11769417,1.3930117,0.5745409,0.46961215,0.2955423,1.2097752,0.9473578,0.037973385,0.43261847,1.4684505,0.6363145,0.10012872,0.11321675,1.2456899,0.4470243,0.040588498,0.17772886,1.0072896,843.3333,854.21246,847.76556,808.68134,857.4359,0.2989501953125,0.08453369140625,0.9549560546875,0.49346923828125,2.205657958984375,5.93658447265625,1.0,1.0,1.0,1.0,1.0,90.41,0.0,2023-10-31 20:36:49.567
0.6779762,0.5329782,0.08781397,1.5172225,0.6805394,0.47904372,0.22854815,1.1545223,0.9697701,0.055731744,0.43838322,1.3855237,0.58675504,0.057807006,0.20944507,1.2661041,0.6261021,0.05631566,0.24479575,1.191518,820.7692,858.6447,844.5421,793.36993,801.02563,0.2818603515625,0.0672607421875,0.96746826171875,2.01873779296875,15.71624755859375,6.9085693359375,1.0,1.0,1.0,1.0,1.0,90.41,0.0,2023-10-31 20:36:50.568
0.9019312,0.22360152,0.13730803,1.5172225,0.77484936,0.030087376,0.33990684,1.1545223,0.9536379,0.36278307,0.46776748,1.3855237,0.70395136,0.5587902,0.58938795,1.2661041,0.68767846,0.445353,0.46722496,1.191518,777.25275,867.9121,880.80585,969.45056,796.99634,0.46820068359375,0.1312255859375,0.8260498046875,4.62066650390625,19.320068359375,3.6785888671875,1.0,1.0,1.0,1.0,1.0,90.41,0.0,2023-10-31 20:36:51.577
